ID_cliente;Ciudad;Region;Pais
10167;Westerville;Ohio;United States
6369;Posadas;Misiones;Argentina
1051;Posadas;Misiones;Argentina
7901;Rawson;San Juan;Argentina
7421;san juan;San Juan;Argentina
8573;Rivadavia;San Juan;Argentina
8861;villa mercedes;San Luis;Argentina
9389;san miguel de tucuman;Tucuman;Argentina
1037;concepcion;Tucuman;Argentina
4104;san miguel de tucuman;Tucuman;Argentina
5502;San Fdo del Valle;Catamarca;Argentina
9483;Caba;Catamarca;Argentina
7570;SFV CATAMARCA;Catamarca;Argentina
39;Caba;Catamarca;Argentina
9401;BARRANQUERAS;Chaco;Argentina
320;Resistencia ;Chaco;Argentina
5302;Resistencia;Chaco;Argentina
9688;Presidencia Roque S치enz Pe침a;Chaco;Argentina
3825;Resistencia;Chaco;Argentina
9560;Resistencia;Chaco;Argentina
6632;Resistencia;Chaco;Argentina
2643;Resistencia;Chaco;Argentina
2610;RESISTENCIA;Chaco;Argentina
9941;Colonia Benitez;Chaco;Argentina
5870;resistencia;Chaco;Argentina
5324;resistencia;Chaco;Argentina
9957;Barranqueras;Chaco;Argentina
2651;caba;Ciudad de Buenos Aires;Argentina
196;VILLA DEVOTO;Ciudad de Buenos Aires;Argentina
2683;Capital federal;Ciudad de Buenos Aires;Argentina
9954;Capital federal;Ciudad de Buenos Aires;Argentina
1147;CABA;Ciudad de Buenos Aires;Argentina
4286;CABA;Ciudad de Buenos Aires;Argentina
10249;CABA;Ciudad de Buenos Aires;Argentina
2480;CABA;Ciudad de Buenos Aires;Argentina
7719;Ciudad aut칩noma de Buenos Aires ;Ciudad de Buenos Aires;Argentina
5062;Ciudad aut칩noma de Buenos Aires ;Ciudad de Buenos Aires;Argentina
9263;caba;Ciudad de Buenos Aires;Argentina
4817;caba;Ciudad de Buenos Aires;Argentina
8908;CABA;Ciudad de Buenos Aires;Argentina
5910;CABA;Ciudad de Buenos Aires;Argentina
9569;Caba;Ciudad de Buenos Aires;Argentina
3788;Caba;Ciudad de Buenos Aires;Argentina
2850;Caba;Ciudad de Buenos Aires;Argentina
9167;Caba;Ciudad de Buenos Aires;Argentina
1445;Caba;Ciudad de Buenos Aires;Argentina
5367;CABA;Ciudad de Buenos Aires;Argentina
8726;CABA;Ciudad de Buenos Aires;Argentina
9934;CABA;Ciudad de Buenos Aires;Argentina
990;Capital Federal;Ciudad de Buenos Aires;Argentina
4398;CABA;Ciudad de Buenos Aires;Argentina
8567;CABA;Ciudad de Buenos Aires;Argentina
7814;Cap Fed;Ciudad de Buenos Aires;Argentina
2304;Capital Federal;Ciudad de Buenos Aires;Argentina
850;Buenos Aires;Ciudad de Buenos Aires;Argentina
1933;CABA;Ciudad de Buenos Aires;Argentina
10409;CAPITAL;Ciudad de Buenos Aires;Argentina
656;Caba;Ciudad de Buenos Aires;Argentina
8635;Palermo ;Ciudad de Buenos Aires;Argentina
10318;CABA;Ciudad de Buenos Aires;Argentina
3980;caba;Ciudad de Buenos Aires;Argentina
3257;campana;Buenos Aires;Argentina
8849;Punta Lara;Buenos Aires;Argentina
4730;campana;Buenos Aires;Argentina
8950;Villa de mayo;Buenos Aires;Argentina
4223;Quilmes;Buenos Aires;Argentina
10390;Quilmes;Buenos Aires;Argentina
9469;ING Maschwitz ;Buenos Aires;Argentina
9205;Vicente Lopez;Buenos Aires;Argentina
8852;Munro;Buenos Aires;Argentina
2932;Santos Lugares;Buenos Aires;Argentina
8271;Vicente Lopez;Buenos Aires;Argentina
8245;Beccar;Buenos Aires;Argentina
8328;Beccar;Buenos Aires;Argentina
8497;Remedios de Escalada;Buenos Aires;Argentina
5472;Remedios de Escalada;Buenos Aires;Argentina
9387;Arroyo Seco;Santa Fe;Argentina
4244;Rosario;Santa Fe;Argentina
8459;Rosario;Santa Fe;Argentina
7537;Rosario;Santa Fe;Argentina
8304;Rosario;Santa Fe;Argentina
4639;Santa fe;Santa Fe;Argentina
8140;Paso de los Libres ;Corrientes;Argentina
6483;Paso de los Libres ;Corrientes;Argentina
8905;Goya;Corrientes;Argentina
2196;Goya;Corrientes;Argentina
4867;Corrientes;Corrientes;Argentina
6857;Corrientes;Corrientes;Argentina
9206;Corrientes;Corrientes;Argentina
7302;san salvador;Jujuy;Argentina
8517;San Salvador de Jujuy;Jujuy;Argentina
10010;San Salvador de jujuy ;Jujuy;Argentina
5205;San Salvador de Jujuy;Jujuy;Argentina
8830;San Salvador de Jujuy ;Jujuy;Argentina
3457;SS de Jujuy;Jujuy;Argentina
8601;San salvador de jujuy;Jujuy;Argentina
9457;san salvador de jujuy;Jujuy;Argentina
9208;San Salvador de Jujuy;Jujuy;Argentina
799;Jujuy;Jujuy;Argentina
4698;San Salvador de Jujuy ;Jujuy;Argentina
